idx,parent_device_id,product_type,air_temp [K],process_temp [K],speed [RPM],torque [Nm],tool_wear [min],target
2250,19159,L,297.57,308.72,1288,61.96,205,failure
2251,221,H,298.4,308.5,1827,24.3,153,normal
2252,168,L,298.4,308.3,1433,62.3,20,failure
2253,5183,M,303.9,313.0,1901,22.5,110,normal
2254,4759,L,303.5,311.6,1361,46.5,62,failure
2255,2080,L,299.3,309.2,2280,15.4,207,normal
2256,13127,L,302.62,311.02,1286,66.34,116,failure
2257,18331,L,298.97,310.06,1354,49.12,235,failure
2258,3223,H,300.6,309.5,1495,36.5,79,normal
2259,13279,L,302.58,310.51,1349,54.15,187,failure
2260,4677,H,303.5,311.6,1466,47.0,80,normal
2261,4355,H,302.0,309.8,1280,57.3,147,failure
2262,7048,L,300.6,310.4,2007,19.8,116,normal
2263,10352,L,300.17,310.85,1339,59.21,189,failure
2264,3404,L,301.3,310.4,1695,30.9,108,normal
2265,9705,L,298.9,310.0,1482,41.1,82,normal
2266,12231,L,300.41,310.49,1371,63.21,92,failure
2267,8023,H,300.9,312.0,1397,42.7,212,normal
2268,9581,L,299.4,310.6,1418,53.1,10,normal
2269,5302,L,303.9,313.1,1491,37.2,195,normal
2270,283,L,298.2,308.2,1469,43.0,88,normal
2271,501,M,297.6,309.3,1464,46.2,218,normal
2272,14698,H,297.37,307.92,1547,36.13,205,failure
2273,1911,M,298.1,307.8,1316,57.2,191,normal
2274,10371,L,302.6,310.46,1352,50.05,34,failure
2275,7348,H,299.7,310.3,1462,40.4,19,normal
2276,2484,H,298.8,308.6,1524,37.7,170,normal
2277,15676,L,301.87,310.87,1713,29.93,218,failure
2278,14867,L,300.45,309.77,1664,29.09,146,failure
2279,11246,L,298.63,308.65,2570,12.72,108,failure
2280,5484,M,302.5,312.0,1826,25.3,203,normal
2281,6721,L,301.4,310.7,1280,61.0,106,normal
2282,2785,L,300.2,309.5,1495,32.6,49,normal
2283,8602,L,297.4,308.1,1729,31.7,204,normal
2284,2114,H,299.4,309.1,1373,44.1,81,normal
2285,10302,L,297.24,308.2,1369,51.03,219,failure
2286,9241,L,298.1,308.7,1683,29.1,161,normal
2287,121,L,298.9,308.7,1558,41.2,110,normal
2288,9018,L,297.3,308.1,1615,35.4,217,failure
2289,15711,H,299.81,309.12,1317,65.06,20,failure
2290,581,L,297.8,309.7,1394,42.9,206,normal
2291,15916,L,302.57,311.45,1343,48.12,210,failure
2292,12056,L,300.43,311.58,1200,76.24,4,failure
2293,2895,M,300.7,309.6,1473,48.1,87,normal
2294,18816,L,300.7,310.74,2529,12.9,64,failure
2295,13830,L,300.56,310.09,1654,29.92,187,failure
2296,14881,L,302.32,311.8,1366,53.51,196,failure
2297,13277,L,301.25,310.75,1356,62.95,66,failure
2298,13564,L,302.25,310.65,1333,54.14,110,failure
2299,16798,L,298.13,308.13,2883,3.87,68,failure
2300,5554,M,302.5,312.0,1521,40.2,174,normal
2301,10192,L,299.53,309.3,1350,58.38,199,failure
2302,15638,H,302.35,310.75,1351,51.54,104,failure
2303,1153,H,297.0,307.9,1448,45.6,172,normal
2304,17024,L,301.35,310.07,1262,64.59,18,failure
2305,10778,L,302.11,311.11,1404,47.98,207,failure
2306,2675,L,299.7,309.3,1574,35.8,6,normal
2307,16019,L,302.55,311.29,1303,64.79,66,failure
2308,11349,L,301.39,311.24,1268,62.91,197,failure
2309,13512,L,300.12,310.44,1299,66.37,107,failure
2310,12168,L,300.19,309.63,1268,61.05,192,failure
2311,13249,L,298.18,308.18,1409,53.85,218,failure
2312,1389,L,298.9,310.2,1533,42.8,138,normal
2313,18699,L,298.6,309.59,1354,53.4,211,failure
2314,7945,L,300.8,311.7,1655,32.2,12,normal
2315,12871,M,303.6,312.77,2659,11.4,27,failure
2316,8010,L,300.8,311.8,1323,61.1,178,normal
2317,4387,L,302.0,309.8,1532,39.4,2,normal
2318,16109,L,299.08,309.98,1368,56.17,202,failure
2319,4250,L,302.6,311.0,1660,38.0,99,normal
2320,12211,M,303.24,312.48,2705,9.83,65,failure
2321,15275,L,297.79,308.5,1476,40.86,222,failure
2322,6470,L,300.4,309.6,1379,54.5,122,normal
2323,19029,L,303.0,311.01,1359,44.36,114,failure
2324,15298,L,300.75,310.83,1359,59.12,190,failure
2325,13326,M,302.3,310.9,1709,30.4,217,failure
2326,14213,L,302.26,310.21,1376,49.83,164,failure
2327,10744,L,301.14,309.57,1342,62.4,111,failure
2328,3973,L,302.3,311.4,1535,41.8,77,normal
2329,9792,H,298.5,309.4,1573,36.0,97,normal
2330,16088,L,298.64,308.64,1348,59.03,202,failure
2331,13102,L,302.03,310.19,1362,45.55,173,failure
2332,8288,M,298.8,310.6,1640,33.8,9,normal
2333,5784,M,301.8,311.1,1399,41.8,125,normal
2334,10584,L,299.28,309.59,1292,63.25,214,failure
2335,12661,H,301.83,311.06,1374,56.54,108,failure
2336,902,L,295.6,306.1,1383,48.7,147,normal
2337,18638,M,296.63,307.68,1256,69.6,103,failure
2338,3138,L,300.4,309.9,1376,43.5,74,normal
2339,16139,L,298.72,309.42,1268,68.86,194,failure
2340,18590,L,297.72,308.52,1372,56.7,203,failure
2341,18936,L,298.73,309.3,1400,55.67,217,failure
2342,11366,L,298.35,308.51,2712,10.11,21,failure
2343,7125,L,300.7,310.1,1261,56.6,98,normal
2344,954,H,295.6,306.2,1414,42.5,69,normal
2345,17980,M,299.19,308.4,1371,63.53,32,failure
2346,19100,L,302.73,310.62,1357,48.91,32,failure
2347,19133,L,301.05,310.15,1534,37.38,205,failure
2348,4253,M,302.6,311.0,1329,48.6,111,failure
2349,12979,L,300.05,309.44,1346,59.26,189,failure
2350,15024,L,300.16,309.93,1380,57.11,203,failure
2351,2266,L,299.2,308.5,1381,60.6,59,normal
2352,15103,L,299.94,310.11,1710,28.52,184,failure
2353,9621,M,299.0,310.0,2049,19.5,111,normal
2354,17088,L,303.12,312.53,1502,36.05,205,failure
2355,19196,L,300.27,309.82,1378,54.43,206,failure
2356,4901,M,303.6,312.3,1630,32.4,223,normal
2357,1303,L,298.7,309.9,1593,42.5,146,normal
2358,15192,L,301.35,309.46,1298,65.43,225,failure
2359,15462,L,299.28,308.7,1443,62.64,132,failure
2360,14921,L,300.99,310.46,1710,29.36,199,failure
2361,12490,L,299.06,310.04,1434,48.38,228,failure
2362,9898,L,298.7,309.2,1396,44.8,178,normal
2363,3203,M,300.1,309.1,1533,38.0,26,normal
2364,10172,M,302.39,310.16,1358,53.75,61,failure
2365,17558,H,301.75,309.93,1307,57.14,20,failure
2366,10279,M,302.25,310.15,1353,46.6,6,failure
2367,16379,L,302.41,311.09,1495,42.84,223,failure
2368,11374,L,298.45,309.26,1356,54.57,213,failure
2369,16182,L,302.2,310.3,1351,60.19,107,failure
2370,19160,L,298.59,309.54,1706,27.54,165,failure
2371,12197,L,303.33,312.18,1281,69.45,93,failure
2372,1011,M,296.2,307.3,1451,42.8,11,normal
2373,13150,L,301.22,309.92,1361,58.98,160,failure
2374,17410,L,302.54,311.48,2709,9.69,2,failure
2375,8422,H,298.9,310.3,1243,63.0,163,normal
2376,2771,L,299.9,309.5,1451,39.4,18,normal
2377,12279,H,302.27,310.82,1360,48.6,131,failure
2378,155,H,298.4,308.2,1987,19.8,198,normal
2379,5288,L,303.8,313.2,1531,39.4,159,normal
2380,327,L,297.7,308.5,1373,56.7,203,failure
2381,10697,L,299.5,308.75,1378,50.39,221,failure
2382,1114,H,296.4,307.3,1540,37.4,75,normal
2383,13706,L,303.21,311.21,1361,46.82,29,failure
2384,13076,L,298.95,309.05,1409,65.52,190,failure
2385,9742,L,298.9,310.2,1623,37.2,177,normal
2386,9453,H,298.2,309.0,1360,56.8,107,normal
2387,16722,M,302.25,310.2,1377,50.31,163,failure
2388,5445,M,303.0,312.8,1648,32.1,104,normal
2389,4376,M,301.9,309.6,1551,34.6,211,normal
2390,1940,L,298.1,307.9,1578,35.6,55,normal
2391,10981,L,303.07,311.52,1340,48.89,208,failure
2392,16771,L,301.51,310.57,1339,56.91,203,failure
2393,7053,H,300.7,310.5,1567,38.7,129,normal
2394,2436,H,299.0,308.2,1662,30.4,55,normal
2395,14795,H,302.6,310.83,1271,55.94,24,failure
2396,6738,H,301.8,311.1,1463,50.1,149,normal
2397,17297,H,302.38,311.25,1623,32.43,230,failure
2398,4462,L,302.7,310.5,1263,67.8,197,failure
2399,1289,M,298.6,309.7,1635,32.2,110,normal
2400,3008,M,300.4,309.7,1547,38.0,181,normal
2401,13782,M,301.17,311.15,1701,29.71,217,failure
2402,7486,L,300.3,311.7,1635,31.8,156,normal
2403,16081,L,300.42,310.41,2703,10.37,132,failure
2404,12026,L,301.66,310.63,2659,12.04,24,failure
2405,18997,L,302.47,310.58,1259,67.34,194,failure
2406,13866,L,302.69,311.05,1499,46.43,233,failure
2407,16873,L,301.94,309.98,1368,47.22,177,failure
2408,14578,L,303.36,311.77,1364,54.07,30,failure
2409,9455,L,298.5,309.2,1983,20.2,114,normal
2410,444,L,297.4,308.4,1582,37.2,68,normal
2411,4397,L,302.4,310.2,1539,37.7,29,normal
2412,14583,L,302.6,310.98,1368,60.25,92,failure
2413,11577,L,302.4,311.0,1268,63.24,91,failure
2414,11924,L,297.66,308.16,1344,59.87,204,failure
2415,10854,H,300.23,309.97,1582,37.54,226,failure
2416,18445,M,299.61,310.19,1298,68.51,111,failure
2417,454,L,297.4,308.7,1468,46.6,94,normal
2418,13005,L,299.59,308.77,1371,62.23,30,failure
2419,16358,L,299.75,311.12,1374,55.72,214,failure
2420,18494,L,299.55,309.08,1305,69.23,44,failure
2421,2647,L,299.8,309.4,1408,45.6,156,normal
2422,11287,L,301.24,310.11,1341,56.22,203,failure
2423,13306,L,296.73,307.45,2225,14.87,129,failure
2424,10143,L,302.78,311.36,1284,69.64,100,failure
2425,843,L,296.6,307.5,1485,42.7,204,normal
2426,15626,L,297.55,308.43,1396,53.08,212,failure
2427,16030,L,302.84,310.95,1352,50.97,7,failure
2428,16295,L,302.47,310.81,1334,53.02,162,failure
2429,8581,M,297.5,308.0,1429,45.8,148,normal
2430,11384,L,300.03,310.01,1381,46.3,205,failure
2431,5901,L,301.0,310.7,1464,45.8,184,normal
2432,17405,L,300.52,311.03,1233,64.67,187,failure
2433,18112,L,302.7,310.68,1344,48.35,169,failure
2434,10133,L,300.66,311.07,2473,13.46,170,failure
2435,4931,M,303.3,312.1,1693,30.0,80,normal
2436,1224,L,297.1,308.3,1763,25.7,139,normal
2437,1005,L,296.2,307.2,1382,52.0,201,normal
2438,16789,L,302.29,310.73,1376,47.71,21,failure
2439,4349,L,301.9,309.7,1595,31.4,133,normal
2440,353,H,297.5,308.3,1674,30.0,54,normal
2441,9835,L,298.4,309.3,1545,36.9,3,normal
2442,15572,L,299.26,309.24,1268,64.58,191,failure
2443,6578,L,301.4,310.4,1543,40.9,190,normal
2444,7391,L,299.7,310.6,1675,31.3,129,normal
2445,2354,L,299.3,308.6,1433,37.7,42,normal
2446,11780,L,301.49,310.2,1262,62.27,95,failure
2447,16569,L,302.86,311.36,1313,60.75,41,failure
2448,4600,L,303.0,311.0,1359,44.2,115,failure
2449,16498,L,300.54,310.22,1650,30.39,214,failure
2450,4146,L,301.8,310.3,1482,41.4,63,normal
2451,19036,L,302.03,310.66,1330,66.16,87,failure
2452,1210,L,297.0,308.1,1537,39.0,103,normal
2453,8817,H,297.3,308.6,1376,53.5,112,normal
2454,14833,L,302.11,311.31,1333,65.76,204,failure
2455,18146,L,298.92,309.88,1269,65.5,192,failure
2456,16440,L,302.61,310.46,1446,40.91,210,failure
2457,10586,M,300.78,311.04,1378,60.71,137,failure
2458,17669,M,302.0,310.79,1703,30.42,220,failure
2459,5456,M,303.1,312.6,1567,32.9,132,normal
2460,18607,L,302.0,310.42,1219,56.35,80,failure
2461,16914,H,298.58,307.96,1605,34.92,226,failure
2462,10585,L,301.76,311.82,1427,48.36,221,failure
2463,879,L,295.8,306.3,1337,54.6,87,normal
2464,5591,L,302.5,312.0,1574,33.8,63,normal
2465,11261,L,302.22,310.77,1264,66.01,197,failure
2466,14841,L,302.62,311.55,1526,36.81,209,failure
2467,16433,L,302.28,310.17,1354,45.19,169,failure
2468,14359,L,300.21,311.0,1254,71.78,148,failure
2469,8857,L,297.7,308.9,1742,26.3,24,normal
2470,16416,L,297.52,308.39,1385,52.92,202,failure
2471,4075,L,302.0,310.6,1583,38.9,94,normal
2472,651,L,297.6,309.1,1503,38.9,157,normal
2473,6855,M,301.1,311.3,1654,30.7,28,normal
2474,2823,M,300.3,309.5,1320,62.2,142,normal
2475,2088,L,299.6,309.4,1331,46.4,16,normal
2476,17402,L,301.56,310.95,2757,8.09,15,failure
2477,2739,L,299.8,309.2,1572,35.4,158,normal
2478,395,L,297.4,308.3,1571,37.7,162,normal
2479,10689,L,300.22,310.88,1294,61.4,204,failure
2480,10478,L,298.77,309.8,2618,12.11,101,failure
2481,8058,L,300.3,311.6,1515,44.9,69,normal
2482,1503,L,298.0,308.7,1771,26.2,206,normal
2483,4001,H,302.1,311.2,1598,37.9,148,normal
2484,17488,L,298.62,309.41,1337,56.06,205,failure
2485,4611,L,303.0,311.3,1365,56.2,146,failure
2486,5030,M,303.9,313.1,1437,48.3,110,normal
2487,12557,L,302.17,310.2,1331,50.65,51,failure
2488,16720,L,301.91,310.23,1329,60.48,49,failure
2489,16993,M,302.53,310.43,1350,49.45,6,failure
2490,10047,L,303.05,311.63,1340,47.63,209,failure
2491,3721,M,302.2,311.2,1544,43.6,63,normal
2492,17350,L,303.0,311.23,1339,51.69,171,failure
2493,8158,L,299.6,310.8,1400,40.8,118,normal
2494,12439,L,300.82,309.94,1307,64.22,42,failure
2495,11700,M,300.14,311.01,1550,34.13,207,failure
2496,1902,L,298.0,307.6,1694,29.1,169,normal
2497,12719,L,301.96,310.39,1370,52.01,154,failure
2498,4030,L,302.0,310.8,2143,17.3,227,normal
2499,8772,L,297.5,308.6,1621,28.9,0,normal
2500,4255,M,302.5,311.0,1387,52.1,116,normal
2501,1400,H,298.9,310.1,1366,62.7,161,normal
2502,2696,L,300.0,309.6,1452,46.0,51,normal
2503,6363,M,300.0,309.6,1618,36.2,53,normal
2504,6182,L,301.0,310.8,1475,35.3,19,normal
2505,18525,L,301.38,311.36,1458,51.44,245,failure
2506,8761,L,297.5,308.8,1417,49.8,177,normal
2507,4629,L,303.0,311.2,1735,26.1,194,normal
2508,16959,L,297.67,308.3,1400,55.38,202,failure
2509,6683,L,301.5,310.9,1318,50.6,11,normal
2510,11894,L,300.06,309.57,1398,43.69,216,failure
2511,16971,L,299.49,309.55,1400,49.56,209,failure
2512,11067,L,297.4,308.11,1398,57.43,200,failure
2513,16185,L,302.65,310.82,1338,53.95,176,failure
2514,15371,L,301.74,312.4,1519,37.66,211,failure
2515,9950,L,298.1,307.8,1413,54.1,113,normal
2516,12504,H,300.88,309.37,1283,59.95,148,failure
2517,995,L,296.3,307.3,1566,35.8,175,normal
2518,3952,L,302.3,311.4,1476,37.3,20,normal
2519,814,M,296.8,307.5,1470,45.9,132,normal
2520,1736,L,298.4,307.9,1544,35.9,132,normal
2521,7000,M,300.6,310.6,1463,45.5,196,normal
2522,5992,L,300.7,310.6,1288,47.2,216,normal
2523,1754,M,298.0,307.4,1463,46.5,182,normal
2524,6920,M,301.2,311.6,1423,48.0,199,normal
2525,14908,M,302.25,311.05,1336,62.35,0,failure
2526,15772,L,300.73,310.92,2614,12.31,86,failure
2527,8105,L,300.4,311.9,1476,48.7,189,normal
2528,15333,L,302.89,310.84,1351,46.3,9,failure
2529,5319,M,303.5,312.7,1402,47.0,23,normal
2530,4621,L,303.0,311.2,1341,51.0,174,failure
2531,16869,M,300.0,310.55,1548,34.71,206,failure
2532,364,L,297.6,308.4,1407,55.2,86,normal
2533,15801,L,301.91,309.91,1373,48.29,179,failure
2534,16335,M,302.35,310.53,1359,48.86,64,failure
2535,7396,L,299.7,310.6,1616,35.1,142,normal
2536,14656,L,300.25,311.27,1522,40.8,216,failure
2537,1801,M,298.0,307.5,1427,43.6,101,normal
2538,4170,M,302.2,310.6,1355,51.5,126,failure
2539,10519,M,302.09,310.37,2662,11.28,89,failure
2540,8125,L,300.2,311.4,1452,47.8,34,normal
2541,18649,M,303.42,312.6,2657,11.45,25,failure
2542,12076,M,303.41,312.58,2704,9.84,65,failure
2543,3787,L,302.3,310.8,1377,47.3,22,failure
2544,6912,M,300.8,311.2,1634,31.9,178,normal
2545,107,M,298.8,308.8,1497,46.8,72,normal
2546,17570,L,298.14,309.4,1505,49.5,224,failure
2547,1850,M,297.7,307.2,1372,52.8,33,normal
2548,12419,L,301.55,310.26,1304,58.72,198,failure
2549,18924,L,298.78,309.53,1337,55.25,206,failure
2550,1965,L,297.8,307.5,1581,33.1,116,normal
2551,749,L,296.6,308.0,1978,22.3,208,normal
2552,3821,L,302.3,310.9,1596,33.5,104,normal
2553,15757,L,301.84,311.4,1528,37.64,208,failure
2554,3909,H,302.3,311.3,1744,30.3,116,normal
2555,1797,M,298.0,307.6,1508,41.8,89,normal
2556,6643,M,301.5,310.5,1308,60.5,139,normal
2557,15408,M,302.84,310.84,1373,52.89,114,failure
2558,14259,L,301.68,311.45,1528,37.79,209,failure
2559,7045,M,300.7,310.6,1609,27.6,108,normal
2560,16917,L,301.55,311.49,1527,37.91,209,failure
2561,6313,L,300.9,310.3,1440,47.6,140,normal
2562,15071,L,302.16,311.19,1340,49.21,209,failure
2563,17796,M,300.07,311.38,1692,29.04,216,failure
2564,2876,M,300.5,309.3,1578,30.5,34,normal
2565,17058,L,298.66,309.53,1368,56.42,203,failure
2566,16744,H,302.84,311.17,1329,50.86,70,failure
2567,4663,L,303.3,311.3,1389,53.9,39,normal
2568,16378,L,300.1,310.97,1231,64.91,197,failure
2569,14980,H,301.26,310.2,1326,65.24,157,failure
2570,9248,M,298.3,309.1,1488,40.6,176,normal
2571,13252,L,301.93,311.22,2647,11.64,81,failure
2572,3149,H,300.4,309.7,1500,35.2,112,normal
2573,14269,L,302.32,311.23,1403,48.82,207,failure
2574,8189,L,299.7,311.0,1983,21.0,201,normal
2575,8170,L,299.9,311.3,1522,45.7,153,normal
2576,3117,M,300.1,309.3,1469,43.9,20,normal
2577,12007,L,300.24,309.45,1298,60.96,45,failure
2578,19194,H,299.47,310.33,1432,49.3,230,failure
2579,10939,L,298.67,309.37,1357,50.68,229,failure
2580,16350,H,296.93,307.81,1548,35.82,205,failure
2581,1973,L,297.9,307.6,1747,25.3,136,normal
2582,14595,L,301.65,311.42,1369,56.1,206,failure
2583,17971,L,299.35,308.95,1271,68.51,72,failure
2584,7004,L,300.5,310.6,1950,20.3,208,normal
2585,16597,L,299.04,309.68,1296,64.62,11,failure
2586,17960,L,299.55,310.95,1375,52.9,216,failure
2587,17838,L,303.59,311.99,1352,50.37,91,failure
2588,4898,H,303.6,312.4,1460,53.7,214,normal
2589,4415,L,302.6,310.4,1514,42.7,75,normal
2590,9213,L,298.0,309.0,1679,32.4,90,normal
2591,10046,L,302.39,310.71,1358,53.98,107,failure
2592,2854,L,300.5,309.3,1470,40.8,219,normal
2593,2,L,298.1,308.5,1498,49.4,5,normal
2594,241,L,298.0,308.1,1777,24.3,200,normal
2595,5122,H,304.2,313.5,1684,29.8,156,normal
2596,11089,L,299.91,309.77,2250,14.68,145,failure
2597,17956,L,300.26,309.81,1398,60.2,191,failure
2598,12687,L,299.74,311.05,1552,33.61,208,failure
2599,1883,M,298.0,307.6,1472,46.7,116,normal
2600,5036,L,304.0,313.2,1615,37.8,127,normal
2601,3523,L,301.8,310.9,1521,39.3,197,normal
2602,7611,L,300.5,311.4,1611,32.7,44,normal
2603,3214,H,300.4,309.3,1396,51.2,54,normal
2604,4389,M,302.1,310.0,1355,45.1,6,failure
2605,5923,M,300.4,310.3,1537,35.0,33,normal
2606,7771,L,300.3,311.6,1709,29.5,27,normal
2607,2783,M,300.2,309.6,1528,35.1,44,normal
2608,13702,L,303.36,311.77,1401,52.88,207,failure
2609,7042,L,300.6,310.5,1642,29.9,100,normal
2610,1119,L,296.5,307.5,1340,59.1,89,normal
2611,14609,L,302.35,310.57,1375,49.93,163,failure
2612,6078,L,300.8,310.7,1339,59.1,203,failure
2613,10483,L,301.15,310.64,1339,58.03,203,failure
2614,2300,L,299.3,308.6,1371,50.5,136,normal
2615,7094,L,300.6,310.2,1447,45.9,17,normal
2616,8095,L,300.2,311.7,1493,48.3,167,normal
2617,11831,L,301.75,309.8,1308,57.82,196,failure
2618,11064,M,303.1,311.6,1314,53.37,69,failure
2619,2875,M,300.5,309.4,1877,23.8,31,normal
2620,12336,L,301.2,311.23,1245,70.33,148,failure
2621,14002,L,302.3,311.52,1363,52.26,122,failure
2622,14244,L,302.45,311.78,1336,69.78,48,failure
2623,14641,L,302.56,310.91,1360,48.21,35,failure
2624,18162,L,301.1,309.89,1264,63.04,85,failure
2625,8789,L,297.4,308.5,1471,43.9,45,normal
2626,13323,L,302.71,311.67,1336,56.87,188,failure
2627,11332,L,301.44,310.82,1284,62.76,182,failure
2628,17021,L,299.78,310.69,1398,53.19,219,failure
2629,1737,L,298.4,307.9,1743,27.3,134,normal
2630,7063,L,300.7,310.4,1234,51.7,160,normal
2631,2480,L,299.0,308.6,1734,32.4,161,normal
2632,4842,M,303.3,311.8,1489,49.4,64,normal
2633,8230,L,299.1,310.5,1736,26.9,74,normal
2634,6519,L,301.1,310.1,1417,46.9,35,normal
2635,12741,L,302.02,310.54,1366,65.31,85,failure
2636,13379,H,300.35,309.9,1394,46.5,210,failure
2637,3062,L,299.9,309.0,1553,40.0,88,normal
2638,7539,L,300.2,311.3,1487,36.9,71,normal
2639,9136,L,297.7,308.7,1694,29.1,102,normal
2640,5819,L,301.3,311.0,1418,41.9,208,normal
2641,13450,L,303.29,311.79,1309,54.87,84,failure
2642,8366,M,298.9,309.8,1836,22.8,18,normal
2643,6713,L,301.3,310.6,1416,45.2,88,normal
2644,15534,L,302.18,310.58,1355,52.11,124,failure
2645,17117,H,302.33,310.41,1301,57.5,92,failure
2646,5906,L,300.7,310.3,1533,35.6,198,normal
2647,16801,M,302.81,311.29,1369,54.22,117,failure
2648,2703,M,299.8,309.2,1372,58.2,65,normal
2649,1793,L,298.1,307.8,1761,28.2,76,normal
2650,1580,M,298.3,308.4,1444,47.5,178,normal
2651,7622,M,300.6,311.6,1473,31.5,69,normal
2652,7137,M,300.6,310.0,1486,41.2,127,normal
2653,4916,H,303.4,312.3,1769,27.9,40,normal
2654,13383,L,298.26,308.67,1429,38.16,219,failure
2655,16472,L,301.21,311.22,1378,49.19,226,failure
2656,6531,H,301.2,310.7,1656,26.2,64,normal
2657,1291,M,298.6,309.7,1675,28.4,115,normal
2658,260,M,298.2,308.3,1522,49.1,22,normal
2659,19031,L,300.23,309.6,2844,5.15,176,failure
2660,11636,H,302.68,310.77,1301,58.08,15,failure
2661,16810,L,297.95,308.64,2559,12.81,118,failure
2662,9255,L,298.2,309.0,1651,31.5,197,normal
2663,17567,L,303.13,312.37,1404,60.55,125,failure
2664,8072,H,300.5,312.0,1375,43.2,108,normal
2665,11567,L,302.93,312.12,1400,60.57,126,failure
2666,18932,L,302.39,311.38,1441,56.23,177,failure
2667,10424,L,302.37,311.53,1228,67.65,185,failure
2668,19066,L,302.54,310.6,1327,59.28,94,failure
2669,5905,H,300.8,310.5,1582,31.1,193,normal
2670,13278,L,302.32,310.72,1332,53.15,110,failure
2671,3679,L,302.2,311.5,1725,34.0,170,normal
2672,1207,M,297.0,308.1,1573,34.9,93,normal
2673,1486,M,298.2,309.2,1524,34.6,161,normal
2674,12391,L,299.5,309.79,1409,57.35,8,failure
2675,4653,M,303.1,311.1,1594,35.5,13,normal
2676,18179,L,299.69,310.91,1229,65.15,206,failure
2677,1012,M,296.1,307.1,1433,38.5,14,normal
2678,4991,M,303.9,313.0,1475,41.0,11,normal
2679,16017,L,302.5,311.45,2704,10.3,9,failure
2680,14753,L,302.13,312.59,1517,37.27,210,failure
2681,2940,L,300.9,309.7,2355,14.4,201,normal
2682,16140,L,298.45,309.35,1337,56.08,205,failure
2683,11522,M,302.21,310.64,1373,47.85,70,failure
2684,18852,H,299.75,309.69,1538,36.61,206,failure
2685,6233,L,301.2,310.9,1467,37.1,153,normal
2686,12780,L,302.72,310.54,1351,42.28,9,failure
2687,7740,L,300.5,312.0,1453,45.1,151,normal
2688,911,M,295.6,306.1,1490,42.7,171,normal
2689,18850,M,303.27,311.72,1315,51.95,69,failure
2690,2827,L,300.4,309.4,1412,51.6,153,normal
2691,13080,L,300.26,310.48,1374,61.62,92,failure
2692,17953,L,302.7,311.16,1319,56.61,87,failure
2693,8383,M,298.8,309.9,1495,35.2,60,normal
2694,7011,L,300.5,310.5,2633,12.2,17,failure
2695,12325,L,299.89,310.94,1229,64.35,210,failure
2696,19249,L,300.92,311.7,1336,59.59,189,failure
2697,3800,M,302.1,310.9,1916,23.1,51,normal
2698,3019,L,300.5,309.8,1379,54.2,207,failure
2699,12128,L,300.62,309.8,2838,5.37,188,failure
2700,15237,L,300.08,309.63,1272,68.43,110,failure
2701,15122,L,297.72,308.29,1366,51.83,218,failure
2702,14903,L,302.7,312.18,1449,51.96,212,failure
2703,31,L,299.0,309.4,1798,25.5,89,normal
2704,16646,L,302.8,311.4,1299,47.01,218,failure
2705,13572,L,298.74,309.93,1206,69.49,199,failure
2706,15124,H,302.94,310.9,1331,48.47,58,failure
2707,2160,L,299.4,309.0,1507,41.0,213,normal
2708,17370,L,302.11,310.46,1311,55.47,40,failure
2709,8474,M,298.5,309.7,1523,44.6,83,normal
2710,18537,L,298.4,309.0,1869,24.86,208,failure
2711,9862,M,298.8,309.7,1439,45.8,81,normal
2712,18670,L,299.24,310.11,1194,65.54,196,failure
2713,12556,L,303.04,311.24,1338,51.67,173,failure
2714,15715,L,302.64,310.52,1356,49.31,33,failure
2715,7262,M,300.4,310.6,1545,35.6,16,normal
2716,14705,L,300.96,309.91,2834,5.49,196,failure
2717,16540,L,302.5,310.22,1329,50.46,148,failure
2718,5915,M,300.6,310.2,1532,38.7,16,normal
2719,14658,L,301.2,309.74,1339,60.99,111,failure
2720,17660,L,303.01,311.71,1304,61.04,213,failure
2721,17457,H,302.69,311.09,1357,54.92,99,failure
2722,10878,L,301.27,311.15,1319,61.98,14,failure
2723,13273,L,303.0,311.24,1338,51.92,170,failure
2724,4741,L,303.2,311.3,1393,52.9,12,normal
2725,7254,L,300.3,310.4,1493,37.5,219,normal
2726,18388,L,300.61,309.75,2839,5.31,185,failure
2727,14027,L,302.4,310.65,1364,52.46,152,failure
2728,4923,M,303.4,312.2,1972,23.5,59,normal
2729,19253,L,302.43,310.24,1350,45.37,168,failure
2730,13615,L,301.99,310.19,1284,68.14,111,failure
2731,14597,M,302.25,311.0,1421,48.92,105,failure
2732,15540,L,297.85,307.95,2565,12.8,125,failure
2733,15147,L,302.22,310.71,1376,47.13,168,failure
2734,4263,L,302.6,311.0,1620,36.2,139,normal
2735,14003,L,303.17,311.13,1350,46.77,27,failure
2736,5517,L,302.6,311.9,1448,49.5,72,normal
2737,11784,M,302.11,311.14,1380,53.1,61,failure
2738,2385,L,299.1,308.3,1524,34.1,128,normal
2739,6538,L,301.4,310.7,1487,44.6,88,normal
2740,8733,M,297.3,308.7,1447,44.5,105,normal
2741,15701,L,300.21,309.97,1380,57.12,203,failure
2742,12100,L,299.75,310.4,1404,51.03,220,failure
2743,4522,M,302.5,310.5,1918,21.6,131,normal
2744,10305,H,300.23,309.63,1376,47.95,241,failure
2745,2715,M,299.5,309.0,1701,28.6,98,normal
2746,5598,L,302.8,312.1,1441,52.1,79,normal
2747,12143,L,302.2,310.6,1339,51.17,159,failure
2748,13748,H,302.58,310.95,1356,54.31,101,failure
